presyn_cell,type_presyn,postsyn_cell,synapses,synapse_fraction
SNMIP-vc,Sensory neuron,MNant,2,0.01015228426395939
SNMIP-vc,Sensory neuron,MN3,13,0.07386363636363637
SNMIP-vc,Sensory neuron,MN1,1,0.0032258064516129
SNMIP-vc,Sensory neuron,Glia-pigmented,1,0.125
SNMIP-vc,Sensory neuron,MUSpx,2,0.5
SNmus,Sensory neuron,INmus,2,0.2
SNantlerPDF,Sensory neuron,MS4,1,0.01694915254237288
SNantlerPDF,Sensory neuron,cMNdc,2,0.04347826086956521
SNantlerPDF,Sensory neuron,INCrossbow,1,0.01204819277108433
SNantlerPDF,Sensory neuron,INarc1,1,0.00628930817610062
SNantlerPDF,Sensory neuron,INbiaxH,2,0.02564102564102564
SNantlerPDF,Sensory neuron,INhook,8,0.5333333333333333
SNantlerPDF,Sensory neuron,INpro,3,0.02054794520547945
SNantlerPDF,Sensory neuron,INproT2,2,0.03448275862068965
SNantlerPDF,Sensory neuron,INdecusshook,1,0.01538461538461538
SNantlerPDF,Sensory neuron,INpreLadder,1,0.04761904761904761
SNantlerPDF,Sensory neuron,INcomm-Upcross,1,0.01666666666666666
SNantlerPDF,Sensory neuron,INmus,1,0.1
SNantlerPDF,Sensory neuron,INMBPDF,1,0.03225806451612903
SNantlerPDF,Sensory neuron,INpara,1,0.0625
SNantlerPDF,Sensory neuron,MNant,25,0.12690355329949238
SNantlerPDF,Sensory neuron,Loop,5,0.03472222222222222
SNantlerPDF,Sensory neuron,MN3,37,0.2102272727272727
SNantlerPDF,Sensory neuron,MN1,4,0.01290322580645161
SNantlerPDF,Sensory neuron,MN2,3,0.01442307692307692
SNantlerPDF,Sensory neuron,Ser-tr1,1,0.01
SNantlerPDF,Sensory neuron,MNladder,1,0.00675675675675675
SNPDF-dc,Sensory neuron,SNnuchPDF,1,0.0099009900990099
SNPDF-dc,Sensory neuron,SN-DLSO,1,0.0091743119266055
SNPDF-dc,Sensory neuron,SNMB2,1,0.07142857142857142
SNPDF-dc,Sensory neuron,SN-DLSO3,1,0.09090909090909093
SNPDF-dc,Sensory neuron,SN-DSO17,2,0.10526315789473684
SNPDF-dc,Sensory neuron,SNasym,2,0.2222222222222222
SNPDF-dc,Sensory neuron,SN-NS1,2,0.25
SNPDF-dc,Sensory neuron,SN-NS22,1,0.16666666666666666
SNPDF-dc,Sensory neuron,SN-DLSO1.3,1,0.08333333333333333
SNPDF-dc,Sensory neuron,INasc-pyg,1,0.00602409638554216
SN-DLSO1.2,Sensory neuron,SN-DLSO,4,0.03669724770642202
SN-DLSO,Sensory neuron,SNnuchNS,3,0.125
SN-DLSO,Sensory neuron,SN-DLSO1.2,6,0.5454545454545454
SN-DLSO,Sensory neuron,SN-DLSO,44,0.4036697247706422
SN-DLSO,Sensory neuron,SN-DLSO2l,5,0.16666666666666666
SN-DLSO,Sensory neuron,SN-ASTC,3,0.06122448979591836
SN-DLSO,Sensory neuron,SN-IRP2-FMRF,4,0.5714285714285714
SN-DLSO,Sensory neuron,SN-MIP1,5,0.12195121951219512
SN-DLSO,Sensory neuron,SN-WLD,11,0.2619047619047619
SN-DLSO,Sensory neuron,SN-DLSO1.0,2,0.25
SN-DLSO,Sensory neuron,SN-NS1,2,0.25
SN-DLSO,Sensory neuron,SN-NS22,1,0.16666666666666666
SN-DLSO,Sensory neuron,SN-NS17,2,0.25
SN-DLSO,Sensory neuron,SN-DLSO1.3,1,0.08333333333333333
SN-DLSO,Sensory neuron,INRGWa,1,0.00342465753424657
SN-DLSO,Sensory neuron,INNOS,1,0.0144927536231884
SN-DLSO1.2-1,Sensory neuron,MNgland-head,1,0.02325581395348837
SN-DLSO2l,Sensory neuron,SN-DLSO,14,0.12844036697247707
SN-DLSO2l,Sensory neuron,INarc2,2,0.02150537634408602
SNMB2,Sensory neuron,SN-DLSO,11,0.10091743119266056
SNMB2,Sensory neuron,SN-DLSO2l,3,0.1
SNMB2,Sensory neuron,SNMB2,5,0.35714285714285715
SNMB2,Sensory neuron,SN-DLSO3,4,0.3636363636363637
SNMB2,Sensory neuron,SN-DLSO1.0,5,0.625
SNMB2,Sensory neuron,SN-NS17,4,0.5
SNMB2,Sensory neuron,INDLSO,1,0.0588235294117647
eyespot-PRCR3,Sensory neuron,MS5,2,0.14285714285714285
eyespot-PRCR3,Sensory neuron,Loop,1,0.00694444444444444
eyespot-PRCR3,Sensory neuron,MN3,15,0.08522727272727272
eyespot-PRCR3,Sensory neuron,MN1,19,0.06129032258064516
eyespot-PRCR3,Sensory neuron,MN2,9,0.04326923076923077
eyespot-PRCR3,Sensory neuron,prototroch,58,0.07090464547677261
eyespot-PRCR1,Sensory neuron,pygPBunp,1,0.01428571428571428
eyespot-PRCR1,Sensory neuron,SN-DLSO1.1NP,8,0.26666666666666666
eyespot-PRCR1,Sensory neuron,IN1,3,0.0072463768115942
eyespot-PRCR1,Sensory neuron,INarc1,4,0.02515723270440251
eyespot-PRCR1,Sensory neuron,INdc,1,0.04
eyespot-PRCR1,Sensory neuron,INbigloop,1,0.05555555555555555
eyespot-PRCR1,Sensory neuron,INcomm-Upcross,1,0.01666666666666666
eyespot-PRCR1,Sensory neuron,INR1,15,0.5172413793103449
MS1,Sensory neuron,INproT2,13,0.22413793103448276
MS1,Sensory neuron,INpear,1,0.1111111111111111
MS1,Sensory neuron,INMBtype9,3,0.75
MS1,Sensory neuron,MN3,6,0.03409090909090909
MS1,Sensory neuron,MN1,70,0.2258064516129032
MS1,Sensory neuron,MN2,13,0.0625
MS1,Sensory neuron,Glia-pigmented,1,0.125
MS4,Sensory neuron,eyespot-PRCR3,1,1
MS4,Sensory neuron,MS4,51,0.864406779661017
MS4,Sensory neuron,MS5,2,0.14285714285714285
MS4,Sensory neuron,INsn,4,0.03773584905660377
MS4,Sensory neuron,MN3,40,0.2272727272727273
MS4,Sensory neuron,MN1,73,0.23548387096774193
MS4,Sensory neuron,MN2,41,0.1971153846153846
MS3,Sensory neuron,SNMIP-vc,2,0.13333333333333333
MS3,Sensory neuron,MS1,2,0.13333333333333333
MS3,Sensory neuron,MS3,1,0.16666666666666666
MS3,Sensory neuron,INRGWa,2,0.00684931506849315
MS3,Sensory neuron,INCrossbow,15,0.18072289156626503
MS3,Sensory neuron,INdecussfoot,2,0.02985074626865671
MS3,Sensory neuron,INMBPDF,1,0.03225806451612903
MS3,Sensory neuron,Glia-pigmented,1,0.125
MS3,Sensory neuron,MUSpx,1,0.25
MS5,Sensory neuron,SN-DLSO1.1NP,1,0.03333333333333333
MS5,Sensory neuron,INton,2,0.06060606060606061
MS5,Sensory neuron,INsn,2,0.01886792452830188
MS5,Sensory neuron,INpro,1,0.00684931506849315
MS5,Sensory neuron,MN3,2,0.01136363636363636
MS5,Sensory neuron,MN1,6,0.01935483870967742
MS5,Sensory neuron,MN2,4,0.01923076923076923
SN-ASTC,Sensory neuron,cPRC,4,0.4444444444444444
SN-ASTC,Sensory neuron,SN-DLSO,2,0.01834862385321101
SN-ASTC,Sensory neuron,SN-DLSO3-PDF,1,0.05263157894736842
SN-ASTC,Sensory neuron,SN-MIP1,3,0.07317073170731707
SN-ASTC,Sensory neuron,SN-WLD,1,0.0238095238095238
SN-ASTC,Sensory neuron,SNasym,1,0.1111111111111111
SN-ASTC,Sensory neuron,SN47Ach,2,0.2857142857142857
SN-ASTC,Sensory neuron,SN-NS1,2,0.25
SN-ASTC,Sensory neuron,SN-NS5,2,0.18181818181818185
SN-ASTC,Sensory neuron,SN-NS20,1,0.05
SN-ASTC,Sensory neuron,SN-NS16,2,0.18181818181818185
SN-ASTC,Sensory neuron,SN-DLSO1.3,1,0.08333333333333333
SN-ASTC,Sensory neuron,INRGWa,1,0.00342465753424657
SN-ASTC,Sensory neuron,INNOS,2,0.02898550724637681
SN-DLSO3-PDF,Sensory neuron,SNnuchPDF,2,0.0198019801980198
SN-DLSO3-PDF,Sensory neuron,SN47Ach,1,0.14285714285714285
SN-DLSO3-PDF,Sensory neuron,SN-NS29,1,0.5
SN-DLSO3-PDF,Sensory neuron,cMNATO,1,0.01785714285714285
SN-DLSO3-PDF,Sensory neuron,INlasso,1,0.03125
SN-DLSO3-PDF,Sensory neuron,INarc1,1,0.00628930817610062
SN-DLSO3-PDF,Sensory neuron,INUturn,1,0.0238095238095238
SN-DLSO3-PDF,Sensory neuron,INDLSO,2,0.1176470588235294
SN-DLSO3-PDF,Sensory neuron,Ser-h1,2,0.01052631578947368
SN-DLSO3,Sensory neuron,SNMB2,1,0.07142857142857142
SN-DLSO3,Sensory neuron,SN-DLSO3,1,0.09090909090909093
SN-DLSO3,Sensory neuron,INDLSO,3,0.17647058823529413
SN-IRP2-burs,Sensory neuron,SN-ASTC,2,0.04081632653061224
SN-IRP2-burs,Sensory neuron,SN-MIP1,2,0.04878048780487805
SN-IRP2-burs,Sensory neuron,SN-WLD,1,0.0238095238095238
SN-IRP2-burs,Sensory neuron,SN-NS4,1,0.16666666666666666
SN-IRP2-burs,Sensory neuron,INRGWa,4,0.0136986301369863
SN-IRP2-burs,Sensory neuron,INNOS,1,0.0144927536231884
SN-IRP2-burs,Sensory neuron,INCrossbow,1,0.01204819277108433
SN-IRP2-burs,Sensory neuron,INarc2,1,0.01075268817204301
SN-IRP2-FMRF,Sensory neuron,SN-DLSO1.2,1,0.09090909090909093
SN-IRP2-FMRF,Sensory neuron,SN-DLSO,1,0.0091743119266055
SN-IRP2-FMRF,Sensory neuron,SN-ASTC,2,0.04081632653061224
SN-IRP2-FMRF,Sensory neuron,SN-WLD,1,0.0238095238095238
SN-IRP2-FMRF,Sensory neuron,SN-NS22,1,0.16666666666666666
SN-MIP4,Sensory neuron,SNnuchPDF,1,0.0099009900990099
SN-MIP4,Sensory neuron,SN-WLD,1,0.0238095238095238
SN-MIP1,Sensory neuron,cPRC,1,0.1111111111111111
SN-MIP1,Sensory neuron,SNnuchNS,1,0.04166666666666666
SN-MIP1,Sensory neuron,SN-DLSO,1,0.0091743119266055
SN-MIP1,Sensory neuron,SN-ASTC,2,0.04081632653061224
SN-MIP1,Sensory neuron,SN-IRP2-FMRF,1,0.14285714285714285
SN-MIP1,Sensory neuron,SN-NS1,1,0.125
SN-MIP1,Sensory neuron,SN-NS5,2,0.18181818181818185
SN-MIP1,Sensory neuron,SN-NS20,1,0.05
SN-MIP1,Sensory neuron,SN-NS18,1,0.25
SN-MIP1,Sensory neuron,SN-NS16,1,0.09090909090909093
SN-MIP1,Sensory neuron,INRGWa,1,0.00342465753424657
SN-MIP1,Sensory neuron,INNOS,2,0.02898550724637681
SN-WLD,Sensory neuron,SN-NS3,1,0.3333333333333333
SN-WLD,Sensory neuron,INNOS,1,0.0144927536231884
SN-DSO17,Sensory neuron,SNnuchPDF,24,0.2376237623762376
SN-DSO17,Sensory neuron,SNnuchBx,1,0.14285714285714285
SN-DSO17,Sensory neuron,SN-DLSO3-PDF,1,0.05263157894736842
SN-DSO17,Sensory neuron,SN-DLSO3,2,0.18181818181818185
SN-DSO17,Sensory neuron,SN-DSO17,12,0.631578947368421
SN-DSO17,Sensory neuron,INasc-pyg,1,0.00602409638554216
SN-DSO17,Sensory neuron,MNant,2,0.01015228426395939
SNbicil,Sensory neuron,pygPBunp,2,0.02857142857142857
SNbicil,Sensory neuron,hPU2l-asymPDF,1,0.3333333333333333
SNbicil,Sensory neuron,cMNATO,16,0.2857142857142857
SNbicil,Sensory neuron,cMNdc,1,0.0217391304347826
SNbicil,Sensory neuron,Ser-h1,1,0.00526315789473684
SNasym,Sensory neuron,SNnuchPDF,1,0.0099009900990099
SNasym,Sensory neuron,SN-DLSO2l,3,0.1
SNasym,Sensory neuron,SNMB2,2,0.14285714285714285
SNasym,Sensory neuron,SN-DSO17,1,0.05263157894736842
SNasym,Sensory neuron,SN-YF5cil,1,0.04545454545454545
SNasym,Sensory neuron,SN-NS19,1,0.01428571428571428
SNasym,Sensory neuron,INpreSer,1,0.125
SNasym,Sensory neuron,INRGWa,2,0.00684931506849315
SNasym,Sensory neuron,INNOS,1,0.0144927536231884
SNasym,Sensory neuron,INCrossbow,4,0.04819277108433735
SNasym,Sensory neuron,INarc2,8,0.08602150537634409
SNasym,Sensory neuron,INdc,1,0.04
SNasym,Sensory neuron,INsqNSasym,3,0.15
SNasym,Sensory neuron,INDLSO,1,0.0588235294117647
SN47Ach,Sensory neuron,SN-IRP2-burs,1,1
SN47Ach,Sensory neuron,INpreSer,1,0.125
SN47Ach,Sensory neuron,INRGWa,29,0.09931506849315068
SN47Ach,Sensory neuron,INNOS,5,0.07246376811594203
SN47Ach,Sensory neuron,INlasso,1,0.03125
SN47Ach,Sensory neuron,INCrossbow,1,0.01204819277108433
SN47Ach,Sensory neuron,INarc1,1,0.00628930817610062
SN47Ach,Sensory neuron,INarc2,4,0.04301075268817204
SN47Ach,Sensory neuron,INUturn,14,0.3333333333333333
SN47Ach,Sensory neuron,INdescLuqinPDF,1,0.02127659574468085
SN47Ach,Sensory neuron,Ser-h1,2,0.01052631578947368
pygPBunp,Sensory neuron,SNbicil,2,0.125
pygPBunp,Sensory neuron,SN47Ach,1,0.14285714285714285
pygPBunp,Sensory neuron,chaeMech,3,0.01724137931034482
pygPBunp,Sensory neuron,hCirrusPU,2,0.09523809523809525
pygPBunp,Sensory neuron,hCR2,1,0.01030927835051546
pygPBunp,Sensory neuron,VentralpygCR2,6,0.0625
pygPBunp,Sensory neuron,SNPDF-pyg,1,0.01666666666666666
pygPBunp,Sensory neuron,SNpygM,1,0.08333333333333333
pygPBunp,Sensory neuron,INRGWa,6,0.02054794520547945
pygPBunp,Sensory neuron,cMNPDF-vcl1,1,0.04347826086956521
pygPBunp,Sensory neuron,cMNATO,4,0.07142857142857142
pygPBunp,Sensory neuron,cMNdc,1,0.0217391304347826
pygPBunp,Sensory neuron,INarc1,8,0.05031446540880503
pygPBunp,Sensory neuron,INrope,1,0.01204819277108433
pygPBunp,Sensory neuron,INsplitCR,4,0.00911161731207289
pygPBunp,Sensory neuron,INbiaxH,1,0.01282051282051282
pygPBunp,Sensory neuron,INUturn,1,0.0238095238095238
pygPBunp,Sensory neuron,INcomm-Upstairs,1,0.01923076923076923
pygPBunp,Sensory neuron,INcomm-Upcross,1,0.01666666666666666
pygPBunp,Sensory neuron,INcomm-DownL,4,0.1176470588235294
pygPBunp,Sensory neuron,INlasso-postSN,1,0.0303030303030303
pygPBunp,Sensory neuron,INmus,1,0.1
pygPBunp,Sensory neuron,INdescLuqinPDF,1,0.02127659574468085
pygPBunp,Sensory neuron,Ser-h1,12,0.06315789473684211
pygPBunp,Sensory neuron,MC,8,0.08247422680412371
pygPBunp,Sensory neuron,MNant,4,0.02030456852791878
pygPBunp,Sensory neuron,MNspinning,2,0.01162790697674418
pygPBunp,Sensory neuron,Loop,1,0.00694444444444444
pygPBunp,Sensory neuron,MNcrab,7,0.0625
pygPBunp,Sensory neuron,MN3,4,0.02272727272727272
pygPBunp,Sensory neuron,MNgland-head,2,0.04651162790697674
pygPBunp,Sensory neuron,prototroch,12,0.01466992665036674
pygPBunp,Sensory neuron,covercell,40,0.06191950464396285
pygPBunp,Sensory neuron,vacuolar-cell-head,9,0.9
pygPBunp,Sensory neuron,pygidial-pigment-cell,4,0.17391304347826086
chaeMech,Sensory neuron,pygPBunp,5,0.07142857142857142
chaeMech,Sensory neuron,chaeMech,69,0.39655172413793105
chaeMech,Sensory neuron,ventralParaPB2,6,0.05555555555555555
chaeMech,Sensory neuron,interparaPM1,1,0.5
chaeMech,Sensory neuron,spinPU1,2,0.2222222222222222
chaeMech,Sensory neuron,ventralParaPU1,6,0.13333333333333333
chaeMech,Sensory neuron,hCirrusPU,2,0.09523809523809525
chaeMech,Sensory neuron,ventralpostParaPUc2,2,0.15384615384615383
chaeMech,Sensory neuron,hCR2,1,0.01030927835051546
chaeMech,Sensory neuron,VentralpygCR2,6,0.0625
chaeMech,Sensory neuron,doCRunp,1,0.09090909090909093
chaeMech,Sensory neuron,SNPDF-pyg,2,0.03333333333333333
chaeMech,Sensory neuron,SNFVa,4,0.10256410256410256
chaeMech,Sensory neuron,SNbronto,1,0.09090909090909093
chaeMech,Sensory neuron,INrope,4,0.04819277108433735
chaeMech,Sensory neuron,INCM,10,0.05617977528089887
chaeMech,Sensory neuron,INchaeMech,51,0.7727272727272727
chaeMech,Sensory neuron,INFVa-pyg,17,0.4473684210526316
chaeMech,Sensory neuron,INsplitCR,140,0.31890660592255127
chaeMech,Sensory neuron,INsplitCRATO,16,0.2711864406779661
chaeMech,Sensory neuron,INbiax,3,0.08823529411764706
chaeMech,Sensory neuron,INsplitPB,1,0.00258397932816537
chaeMech,Sensory neuron,INbackcross3,3,0.14285714285714285
chaeMech,Sensory neuron,INbiaxLeg,4,0.1176470588235294
chaeMech,Sensory neuron,INbiaxH,39,0.5
chaeMech,Sensory neuron,INcomm-Upstairs,2,0.03846153846153846
chaeMech,Sensory neuron,INasc-pyg,46,0.27710843373493976
chaeMech,Sensory neuron,INsplitBronto,45,0.5625
chaeMech,Sensory neuron,INcomm-Upcross,1,0.01666666666666666
chaeMech,Sensory neuron,INsplitVent,2,0.0588235294117647
chaeMech,Sensory neuron,INcomm-DownL,7,0.2058823529411765
chaeMech,Sensory neuron,INcommascFV,1,0.0625
chaeMech,Sensory neuron,INdescLuqinPDF,1,0.02127659574468085
chaeMech,Sensory neuron,INtorii,1,0.0303030303030303
chaeMech,Sensory neuron,MNant,1,0.00507614213197969
chaeMech,Sensory neuron,MNspinning,28,0.16279069767441862
chaeMech,Sensory neuron,Loop,2,0.01388888888888888
chaeMech,Sensory neuron,MNbiramous,3,0.03225806451612903
chaeMech,Sensory neuron,MNring,46,0.2754491017964072
chaeMech,Sensory neuron,MNcrab,7,0.0625
chaeMech,Sensory neuron,MNhose,8,0.18604651162790695
chaeMech,Sensory neuron,MNbow,4,0.16
chaeMech,Sensory neuron,MN1,3,0.00967741935483871
chaeMech,Sensory neuron,MC3cover,5,0.03546099290780142
chaeMech,Sensory neuron,MNmouth,1,0.03125
chaeMech,Sensory neuron,Ser-tr1,1,0.01
chaeMech,Sensory neuron,MNacic,2,0.14285714285714285
chaeMech,Sensory neuron,MNchae,3,0.25
chaeMech,Sensory neuron,MUSobP-neuV,3,0.02631578947368421
ventralParaPB2,Sensory neuron,pygPBunp,1,0.01428571428571428
ventralParaPB2,Sensory neuron,chaeMech,8,0.04597701149425287
ventralParaPB2,Sensory neuron,ventralParaPB2,46,0.42592592592592593
ventralParaPB2,Sensory neuron,spinPU1,6,0.6666666666666666
ventralParaPB2,Sensory neuron,ventralParaPU1,4,0.08888888888888889
ventralParaPB2,Sensory neuron,hPUc,1,0.05263157894736842
ventralParaPB2,Sensory neuron,VentralpygCR2,6,0.0625
ventralParaPB2,Sensory neuron,SNPDF-pyg,2,0.03333333333333333
ventralParaPB2,Sensory neuron,SNFVa,14,0.358974358974359
ventralParaPB2,Sensory neuron,SNblunt,2,0.08695652173913043
ventralParaPB2,Sensory neuron,SNpygM,3,0.25
ventralParaPB2,Sensory neuron,INarc1,1,0.00628930817610062
ventralParaPB2,Sensory neuron,INrope,2,0.02409638554216867
ventralParaPB2,Sensory neuron,INFVa-pyg,2,0.05263157894736842
ventralParaPB2,Sensory neuron,INsplitPB-RF/Ya,7,0.35
ventralParaPB2,Sensory neuron,INsplitPBant,29,0.37662337662337664
ventralParaPB2,Sensory neuron,INsplitPB,195,0.5038759689922481
ventralParaPB2,Sensory neuron,INsplitPUh,6,0.10344827586206896
ventralParaPB2,Sensory neuron,INbiaxH,1,0.01282051282051282
ventralParaPB2,Sensory neuron,INasc-pyg,4,0.02409638554216867
ventralParaPB2,Sensory neuron,INsplitVent,1,0.02941176470588235
ventralParaPB2,Sensory neuron,MNant,3,0.01522842639593908
ventralParaPB2,Sensory neuron,MNspinning,21,0.12209302325581396
ventralParaPB2,Sensory neuron,Loop,7,0.04861111111111111
ventralParaPB2,Sensory neuron,MNwave,1,0.01923076923076923
ventralParaPB2,Sensory neuron,MC3cover,6,0.0425531914893617
ventralParaPB2,Sensory neuron,Ser-tr1,1,0.01
ventralParaPB2,Sensory neuron,paratroch,1,0.0011806375442739
